"suffix","n","GEOID"
"St",183,"31039"
"Rd",190,"53069"
"Rd",318,"35011"
"St",2905,"31109"
"St",199,"31129"
"St",1132,"46099"
"Rd",101,"48327"
"Rd",368,"06091"
"Rd",403,"21053"
"St",453,"39063"
"St",541,"48189"
"Rd",601,"01027"
"St",100,"48011"
"St",544,"39003"
"Rd",250,"13189"
"Rd",802,"55111"
"Rd",417,"05137"
"Rd",452,"41063"
"St",1456,"42007"
"St",69,"28061"
"Rd",795,"29083"
"Trl",132,"08109"
"Rd",990,"37037"
"Cir",105,"49033"
"Rd",860,"40001"
"Dr",1339,"39085"
"St",178,"51775"
"Rd",567,"51121"
"Dr",1860,"47065"
"Rd",762,"35035"
"Rd",346,"35003"
"Rd",259,"01091"
"Rd",420,"56023"
"Rd",249,"29011"
"St",371,"48057"
"Dr",89,"51735"
"Rd",511,"54075"
"Rd",372,"48077"
"Rd",372,"51095"
"St",228,"31101"
"Rd",174,"31137"
"St",1851,"22019"
"Rd",1048,"22111"
"Rd",1640,"40135"
"St",304,"01049"
"Rd",2303,"36101"
"Rd",447,"42053"
"Rd",1466,"22105"
"Ln",755,"51179"
"Rd",472,"26109"
"St",300,"18073"
"Rd",617,"13025"
"Rd",269,"13171"
"Lake",394,"18151"
"St",1134,"48361"
"St",182,"39047"
"Rd",964,"25015"
"Rd",632,"21003"
"Dr",1111,"37001"
"St",727,"20073"
"St",3460,"25025"
"Rd",178,"16051"
"St",256,"48177"
"Rd",731,"47115"
"Rd",513,"26007"
"Rd",695,"21231"
"Rd",569,"47185"
"St",588,"48147"
"Rd",403,"20043"
"Rd",663,"48265"
"Rd",1050,"12053"
"Rd",431,"12129"
"Rd",1245,"12131"
"St",158,"28017"
"Rd",123,"02130"
"Rd",624,"26035"
"Rd",225,"20157"
"Dr",2663,"12127"
"St",908,"40017"
"St",376,"13115"
"Rd",274,"32001"
"St",139,"31181"
"St",639,"17067"
"St",403,"46067"
"Rd",720,"41013"
"Rd",1077,"50011"
"Rd",829,"26103"
"Dr",1447,"37057"
"St",261,"17025"
"St",129,"29103"
"St",300,"29117"
"Rd",1525,"42117"
"St",358,"31043"
"Rd",638,"26089"
"Rd",108,"51181"
"St",228,"48391"
"Dr",2008,"39017"
"Rd",208,"13273"
"Dr",1198,"13063"
"Rd",777,"56013"
"Rd",103,"18115"
"Dr",771,"13073"
"St",57,"08115"
"Rd",295,"30065"
"St",2222,"42043"
"St",214,"46101"
"Rd",598,"54079"
"Rd",1441,"34037"
"Rd",98,"20039"
"Rd",465,"18123"
"Dr",120,"28145"
"Rd",170,"31015"
"St",363,"27095"
"St",156,"38099"
"Rd",553,"39115"
"Dr",794,"39133"
"Rd",198,"56041"
"Rd",488,"32013"
"Rd",99,"48247"
"St",21,"08017"
"Rd",1991,"41005"
"Rd",948,"05113"
"Rd",345,"13193"
"St",251,"18007"
"Rd",821,"47129"
"St",180,"46043"
"Rd",588,"24047"
"St",161,"17185"
"St",429,"18069"
"Dr",290,"21209"
"St",586,"19053"
"St",403,"18169"
"Dr",2131,"18003"
"Rd",688,"18099"
